Question,Answer,Title
It’s my first cult class. What can I expect?,"We are super excited and can’t wait to see you at the center and help you get started on your fitness journey! Here’s a few things we want you to take care of since it is your very first session with cult. BEFORE CLASS Arrive 15 minutes early: Drop in 15 minutes early so that you can get a hang of things at the center. Center manager will be checking your body temperature, oxygen level and status on the Aarogya Setu app.We do not encourage our members to work out if they come later than 5 mins from the session start time. Eat one hour before class: Have a light, simple snack about an hour before your session. Grab a banana/bowl of oats/few almonds or nuts, it’ll charge you up and also help prevent dizziness in your initial sessions. Bring your own kit: We do not encourage our members to workout without shoes as they protect you from common workout-related injuries. Due to COVID-19, we request you to bring your own kit: Yoga mats, Hand towel and water bottle. Weights, boxing bags and resistance bands are available at the center. Mark your attendance: Marking your attendance is mandatory. Mark your attendance to avoid a No-Show Keep your belongings safe: Due to COVID-19, lockers are not accessible at the centers, please do not carry any valuables to the center. DURING CLASS Inform about injuries: Let the trainer know about any injuries you may have Define your own pace: Take it easy. Complete the workouts at your own pace and whenever you feel uncomfortable, stop and let the trainer know AFTER CLASS No waiting at the centre: We deeply sanitise the center after every session. Once your workout is done, you can talk to the trainer in case of any doubts but shower facilities will not be available. Minimize muscle soreness: You might have soreness in your muscles for 2-3 days after your first class but don’t worry, it’s absolutely normal...And strangely, it’ll feel satisfyingly great!! A good warm up and the right cool down (stretch) will minimize soreness to a large extent. A cold water shower after exercise also helps. Ideal recovery meal : Grab a meal that contains easily digestible proteins ( like a bowl of proteins) within 30 - 45mins of the workout. Avoid dairy or heavily processed protein powders. Drink 2-3 litres of water daily to replace lost fluids.",Attending cult classes
Post workout recovery tips,"Minimize Muscle Soreness Soreness and stiffness is absolutely normal after an intense workout, and strangely it will feel satisfying great! Right cool down (stretching) can minimise soreness to a large extent A cold water shower immediately after exercise also helps in minimising soreness Ideal recovery meal Grab a meal that contains easily digestible proteins (like a bowl of pulses) within 30-45 mins of the workout. Avoid dairy or heavily processed protein powders Drink 2.5-3 litres of water daily to replace the lost fluids",Attending cult classes
By what time should I reach the cult center?,"To ensure safety during COVID-19 pandemic, we will be checking temperature, oxygen levels and status on the Aarogya Setu app for every member before entering the center. We recommend that you plan your travel and arrive at the center at least 15 mins before the session start time. Our sessions begin on time and we do not encourage members who arrive late.",Attending cult classes
I am getting delayed and will be late to my cult class,"As long as you can make it within 5 mins from the session’s start time, you will be able to work out.  We do not encourage members to work out if they arrive more than 5 mins later than the session’s start time. The first 5 mins of the session are the most crucial as the warm-up prevents injuries. Coming in late also disturbs the workout routine for your fellow members. Our center managers help ensure that the workout environment is safe for you. We expect our members to respect this & cooperate. If you are well within the cancellation window, please cancel the class so you can avoid a No Show. However, if you've crossed the cancellation window and you are sure that you will not be able to make it within the first 5 mins of the class, you can also choose to drop out. If another member happens to book this freed up slot, your No Show will be waived off.",Attending cult classes
Why do you not encourage us to workout if we come more than 5 mins late to the cult center?,"We believe that discipline is a big part of any fitness activity or routine, particularly if one needs results. Moreover, the first 5 mins are the most critical in your session as the warm-up takes place in that time. The warm-up helps prevent common workout injuries. The last thing we want is an injury to keep you away from your workout routine and other personal responsibilities. We hope you understand that our policy is not one that goes against you but one that ensures your safety.",Attending cult classes
How do I mark attendance for my cult class?,"Marking attendance for each class that you book and attend is mandatory. You can mark your attendance on the tablets in our centers. You will receive a QR code 20 minutes before the class starts. Show the QR code to the camera of the tab provided at the center to mark your attendance. You will only be able to mark attendance starting 15 mins before the class until the class starts. For example -  for a class at 7 pm, you will only be able to mark attendance from 6:45 pm until 7:00 pm. Just in case you forget to mark your attendance, please reach out to the Center Manager in the 30 mins after your class gets over to avoid a No-Show.",Attending cult classes
Is marking attendance mandatory?,"Yes, marking attendance for every session attended is mandatory. You will only be able to mark attendance in the 15 mins before and after the session start time. eg if your session starts at 7:00 PM, you can mark attendance only between 6:45PM and 7:00 PM. Just in case you forget to mark your attendance, please reach out to the Center Manager within 30 mins of the class getting over to avoid a No-Show.",Attending cult classes
What happens if I do not mark my attendance/forgot to mark my attendance?,"Not marking attendance for a booked class will lead to a No-Show.. If you miss marking attendance for a free trial, you will lose 1 free trial. For pack members, for each class that you do not mark attendance, you will lose one day of membership for every No-Show. If you have a monthly subscription, Rs 100 for every No-Show will be added to your next month's charges. In case you've forgotten to mark attendance for a class please reach out to the Center Manager in the 30 mins after your class gets over. This will help avoid getting a No-Show.",Attending cult classes
How to book a 1 on 1 Training Session?,"Here’s how you book a 1 on 1 Training Session from the cult.fit app : Log into the app From the bottom of the To-Do page, pick cult.fit Pick 1 on 1 Training Pick a preferred center and time slot Make a payment You're all set! Please note, at the moment, 1 on 1 training is available only in Mumbai, Bangalore, and Delhi NCR. We will come to other cities soon.",1 on 1 Training session at Cult
What is 1 on 1 Training?,"1 on 1 Training helps you achieve your fitness goals in the guidance of an expert personal trainer. Your trainer will assess your current fitness level and create a personalized workout plan to take you to your desired fitness level. 1 on 1 Training also benefits those who want to learn correct techniques, forms and posture to improve the effectiveness of their workout. At the moment, 1 on 1 training is available only in Mumbai, Bangalore, and Delhi NCR. We will come to other cities soon.",1 on 1 Training session at Cult
Can I cancel/refund a 1 on 1 Training Pack?,A pack once purchases cannot be canceled or refunded. P lease reach out to us via the support option in the cult.fit app/website (Home > Profile > Support) for more details on pack cancellation.,1 on 1 Training session at Cult
What are the fitness goals that I can work on with my trainer?,"You can work on any personal fitness goals with your trainer. Some of the common goals that people have for 1 on 1 Training include body fat loss, weight management, muscle gain, and building endurance. Please note, at the moment, 1 on 1 training is available only in Mumbai. We will come to other cities soon.",1 on 1 Training session at Cult
How frequently should I workout with my personal trainer?,"Based on your fitness goals and current fitness level, your Personal Trainer will suggest a fitness journey for you, with a recommendation on how often should you workout together. Please follow the same to achieve the best results.",1 on 1 Training session at Cult
I have bought a pack and completed 3 sessions. I am not satisfied with the sessions?,"We are sorry to hear that you are not happy. At cult.fit, we want to ensure that we have met the expectation of every single user, and would love to discuss how we can your with your problems. Please write to us at hello@cult.fit and we will help you with the next steps.",1 on 1 Training session at Cult
How do I select my personal trainer?,"When you book your first 1 on 1 training session on the app, we automatically assign you a personal trainer based on your preferred center and slot. All cult.fit trainers are certified professionals and equally qualified to assist you with your fitness goals. If you have any concerns about the trainer allocated to you, p lease reach out to us via the support option in the cult.fit app/website (Home > Profile > Support) Please note, at the moment, 1 on 1 training is available only in Mumbai. We will come to other cities soon.",1 on 1 Training session at Cult
All about our trainers,"Former boxers, Professional Rugby players, Internationally acclaimed Muay Thai trainers and strength and conditioning experts.Need we say more? Just click on ""Explore"", select cult.fit and scroll down to get further details of our trainers.",cult.fit Trainers
Becoming a trainer,"We're glad to see your enthusiasm to become a Cult trainer. To become a trainer in India, send us your profile to careers@cultfit.in. To become a trainer in the UAE, please send your profile to careers@cultfit.ae.",cult.fit Trainers
Which trainer will take my cult.fit class today?,All our trainers are highly skilled and are experts in their formats. We tend to rotate our trainers across centers and do not have a fixed schedule for them. You will be able to find out who your trainer is only when you reach the center.,cult.fit Trainers
What modes of payment are accepted?,"For Cult packs, we accept all major credit and debit cards. We also accept payments by Internet Banking, UPI and wallets. For Cult monthly subscription, auto-renewals are available only on debit and credit cards. We do not accept cash.",Payments for cult
How does payment for monthly cultpass ELITE work?,"When you're on a monthly subscription, your card gets charged automatically on the billing date every month until you choose to cancel your subscription. Auto renewal is currently only available on payments made via debit cards and credit cards If your auto renewal fails for any reason, you can manually renew your subscription at the monthly price within 3 days of the pack end date. After these 3 days, you will not be able to renew your subscription at the monthly price. You will have to purchase a new subscription and repay the full first month price If you want to change your mode of payment you can cancel and manually renew your subscription with the new payment mode. Please write to hello@cult.fit.com, we will refund any extra amount paid by you.",Payments for cult
Is it safe to pay such a big amount for cultpass online?,"Your online transaction on cult.fit is secure with the highest levels of transaction security currently available on the Internet. Cult.fit uses 256-bit encryption technology to protect your card information while securely transmitting it to the respective banks for payment processing. All credit card and debit card payments on cult.fit are processed through secure and trusted payment gateways managed by leading banks. Banks now use the 3D Secure password service for online transactions, providing an additional layer of security through identity verification.",Payments for cult
Can I pay for my cultpass through EMI?,"Yes. This option is available only in India and only for a value greater than Rs 3000. The interest on your EMI is decided by your bank. To opt for EMI, please select the credit card EMI option while checking out. For monthly subscriptions, there is no EMI option.",Payments for cult
My payment for the cultpass failed but the amount still got debited from my account!,"Please don’t worry, your amount will be refunded to your source account within 7 days. If, however, you still haven’t received the amount, p lease reach out to us via the support option in the cult.fit app/website (Home > Profile > Support)",Payments for cult
How can I get a refund for my cultpass?,"We do not refund any amount for a purchased cultpass  pack. P lease reach out to us via the support option in the cult.fit app/website (Home > Profile > Support) for any questions. For monthly subscriptions, you can simply cancel the subscription and you will not be charged next month.",Payments for cult
I need an invoice for my cultpass,"You would have received an email invoice when you paid for your membership. If you need another copy of the invoice, p lease reach out to us via the support option in the cult.fit app/website (Home > Profile > Support)",Payments for cult
What is ‘Last Minute Dropout’ feature?,We appreciate you cancelling your slot on time (up to 60 mins in advance) as it helps us make your slot available to other members BUT in case something comes up at the last moment and you will not be able to make it to the class you can use this feature. ‘Last Minute Dropout’ feature gives you the convenience of opting out of a class after the cancellation limit is passed. No-show of 1 membership day will be applicable BUT IF another member books your slot then we will waive off your no-show! This works on a first come first served basis. Sooner you opt-out higher are the chances of other member being able to use your slot.,Dropout 
How can I use this feature?,"Drop-out of a class from Home tab after the cancellation limit Get notified when another member uses your slot When that happens, your no-show will be waived off for that class Sooner you opt-out higher are the chances of another member being able to use your slot",Dropout 
How would I know whether someone else has booked my slot or not?,We will notify you as soon as there is a user who book a slot after you have dropped out. Sooner you drop-out higher are the chances of other member being able to use your slot as you have given more time to other users.,Dropout 
"There are seats available in a class and I also dropped my slot, now if another member books a slot, will he be booking my dropped out slot or the already available slot?","Since slots were already available in that class, first those slots will get filled. This works on a first come first served basis. Sooner you opt-out higher are the chances of other member being able to use your slot.",Dropout 
"I dropped out, but my membership was deducted.","The last minute drop out feature allows you to cancel or opt out of a class even after the class cancellation window expires. This frees up slots for those who might want to book a class in the last hour leading up to the class. Only if the slot that you opted out of is used up by another member, your membership days remain unaffected. However, if no other member books your dropped out slot, you will lose 1 day of membership.",Dropout 
What is Cult Moments?,"With Cult Moments, is a way of getting to know your workout buddies. Everyday you will now know fellow members who worked out with you.  To get going: Complete your fitness profile: Your fitness profile is your identity, use it to tell the world how awesome you are Make your profile public which will allow you to view the profiles of other Cult Athletes When you attend a class, profiles of other Cult Athletes in your class will start to appear! Please note that Cult Moments is only available in the app. Only those who have attended at least one class will be able to see this option. If you have attended a class but you are still not able to see your profile, please update your app to the latest version. .",Cult Moments
Where can I find my Cult profile?,Cult Moments is only available on the cult.fit app. You can follow the steps below: Go to ‘Cult’ tab Scroll down to see ‘Cult Profile’ Click to edit your profile,Cult Moments
How can I make my profile Public/Private?,Cult Moments is only available on the cult.fit app. You can follow the steps below: Go to ‘Cult’ tab Scroll down to see ‘Cult Profile’ Click and make your profile Public/Private,Cult Moments
Why am I not able to see any of the members in my class?,There can be two reasons for this: Your profile is Private: In this case make it Public to view profiles of other members in your class No other member in your class has made their profiles public,Cult Moments
What safety precautions will be taken at the center?,"To ensure safety of members as well as our employees, we have made the following changes in the center facilities: Temperature & Blood oxygen level checks: Our center manager will check your body temperature, blood oxygen levels & status on Aarogya Setu app before entering the center. Please stand in the queue of boxes marked in front of your center & wait for your turn Limited access to center facilities: Lockers and shower facilities will not be available. You can use washrooms but please wait in the queue for your turn. We request you to not bring any valuables to the center Designated workout spots: To ensure social distancing, every member will be assigned a workout station number. Please stand in your designated station number only. Frequent sanitisation: All the workouts will be of 40 mins duration. Equipment & workout floor will be sanitised after every session. Weights & resistance bands will be placed in your station number. You can also self sanitise the equipment before using",COVID-19 Precautions
What do I need to carry to the center?,"Workout equipment like weights, resistance bands, boxing bags are available at the center. We also have hand sanitisers available at the center. To ensure safety, we request all the members to bring their own workout kit having the following: Water bottle Hand towel Own Yoga Mat for Yoga classes Workout Shoes Boxing gloves and wraps",COVID-19 Precautions
Can I pre-order workout gear from the app before the class?,"In case you do not own a Yoga mat, face mask or water bottle. You can pre-order from the cult.fit app after booking your class. The items will be ready at the center when you arrive to attend your class.",COVID-19 Precautions
Will there be designated workout station in the center?,"To ensure social distancing, designated station numbers will be assigned to you when you mark attendance for a class. Please stand in your station number only. All the equipment that you will require for your class will be placed inside the station before you enter the class. You will not need to move around to pick up weights/equipment.",COVID-19 Precautions
What are the acceptable body temperature & oxygen levels? What happens if I don't meet the criteria?,"As per government mandate, Temperature higher than 99.5 F or 37.5 C and Blood Oxygen Levels lower than 95% are marked as not safe for social interactions. In case your temperature and blood oxygen level is found out of the safe range then to ensure safety for our employees and fellow members, we will not be able to allow you inside the center. We request you to rest at home for at least 7 days and workout at home only. Our team will reach out to you for further information on the next steps.",COVID-19 Precautions
What is contactless attendance?,"Marking attendance will now be contactless. 20 mins before the class start time, a QR code will be sent to your app/website. Show the QR code to the attendance tab provided at the center to mark your attendance.",COVID-19 Precautions
What are the do's and don'ts of attending a cult class?,"DOS Always wear a face mask & use hand sanitizer Arrive at least 15 minutes early for the class for temperature & oxygen level check Follow the markings on the floor to enter and exit from the center. Wait patiently for your turn in the washroom or attendance queue Carry your mobile phone, your own water bottle, hand towel & Yoga mat for the session Assess yourself on Aarogya Setu app regularly Sanitise the equipment placed in your station number by using the sanitiser provided Stand in your designated spot number only to maintain social distancing DONTS If you are unwell, please stay at home and rest. This is important for the health of our employees as well fellow members Do not carry any valuables to the center, as lockers will not be accessible Showers will not be accessible, we request you to carry hand towels which you can use at the end of the session Don’t wait or create groups inside the center",COVID-19 Precautions
When are the cult centers re-opening?,"At cult.fit, safety of our customers & employees are of high importance to us, we are closely following the government guidelines and ensuring all the safety precautions are getting incorporated before the centers' re-open. We have opened multiple centers across all cities and are continuing to do so in a phased manner, the latest update on the center will be available on the app . Visit the 'cult' tab, choose your preferred city and the centers open in that city will be displayed , in case you aren't able to find the center you are looking for, stay tuned & we will update you on the dates. Please Note: The outdoor classes have been suspended for now as it increases the chances of people contact and it is difficult to maintain social distancing. Hence keeping in mind the safety norms, we will not be running the outdoor classes for a foreseeable future.",COVID-19 Precautions
What is the No Show policy and how does the policy work?,"Our priority is to ensure that all members have equal opportunities to attend the classes of their choice. One of the problems that came to our attention is that about 30% of group workout slots go unused due to no-shows. This prevents members who are eager to attend from securing a spot, affecting the community's overall experience. No-Show Penalty: Your membership will be deducted by one day for each no-show. Block Penalty: If you accumulate three no-shows within a month, you won't be able to book any classes for today and the next two days. Any subsequent no-shows within a month will result in the same penalty. On committing the 3rd No-Show of the month today, -You will not be able to book Cult Classes for today and the next 2 days -All your upcoming classes for today and the next 2 days will be cancelled For instance, if you commit the 3rd No-Show of the month on 3rd August then, - You will not be able to book a Cult Class on 3rd August, 4th August and 5th August - Your upcoming classes on 3rd August, 4th August and 5th August will be cancelled The no-show counter gets reset every month so you won’t be charged a block for more than 2 no-shows of the last month. The policy comes into effect only if you forget to cancel your booking after the cut-off time more than 2 times in a month. We request your support to cancel your booking in advance so a fellow Cult athlete can work out. Also, if your waitlist is confirmed less than 90 minutes before the class start time, you will not be charged a no-show. Please note that you can continue to book Cult classes after the block period. Also, while the block impacts the booking of Cult classes, you can still access any of our Cult gyms across the city.",No Show policy
Till when will the extended penalty be applied?,"The policy consists of two parts: No-Show Penalty: Your membership will be deducted by one day for each no-show as before. Block Penalty: If you accumulate three no-shows within a month, you won't be able to book any classes for today and the next two days. Any subsequent no-shows within a month will result in the same penalty. On committing the 3rd No-Show of the month today, You will not be able to book Cult Classes for today and the next 2 days All your upcoming classes for today and the next 2 days will be cancelled For instance, if you commit the 3rd No-Show of the month on 3rd August then, - You will not be able to book a Cult Class on 3rd August, 4th August and 5th August - Your upcoming classes on 3rd August, 4th August and 5th August will be cancelled Your no-show counter gets reset every month.",No Show policy
How can I avoid penalties under the new policy?,"To avoid penalties, simply be mindful of your class bookings. If you know you can't make it, remember to cancel your reservation within the allotted time frame.",No Show policy
Will there be any exceptions for special circumstances?,"While we understand that unforeseen events can occur, we encourage members to inform us of any exceptional situations. We will handle such cases with understanding and empathy.",No Show policy
What is a Nutrition Consultation program?,"Our customised Nutrition Consultation program caters to individuals seeking guidance in Sports and Exercise nutrition, muscle gain/body recomposition, pre and postnatal nutrition, and women's health addressing conditions like PCOD/Thyroid. Additionally, we provide General nutrition consultations for those aiming to enhance their overall lifestyle.",Nutrition Consultation FAQs
Will I have the same nutritionist if I purchase a 4/8/12 session pack?,"We will assign the same nutritionist specialised to address the condition as per your membership. However, in case your primary nutritionist is not available due to a personal emergency or any other operational constraints,  we will assign an equally qualified and experienced coach to support you with your transformation journey - we promise!",Nutrition Consultation FAQs
What is the mode of communication with the nutritionist?,"You can pre-book your video consultations with your nutritionist based on the calendar availability and your membership. Additionally, the nutritionist will be accessible via WhatsApp chat during their business hours to address any queries or concerns you may have.",Nutrition Consultation FAQs
Can I transfer my membership to another person?,a. The nutrition consultation program is a non-transferable product. b. Consultations and services must be utilized within the specified expiry date mentioned in your membership agreement.,Nutrition Consultation FAQs
Is there any eligibility criteria for registering for a Nutrition consultation program?,"This programme is not suitable for any person recovering from a serious injury / medical or health condition. Please consult your physician before enrolling on this program. You are required to inform us of your medical and other health concerns on an ongoing basis. If you have any severe medical conditions that require specific dietary guidelines then, please reach out to us at hello@cult.fit before purchasing the membership.",Nutrition Consultation FAQs
What is the primary focus and scope of the Nutrition Consultation program?,"a. This program is not aimed at curing or treating any specific disease, medical condition, or ailment. b. Consultations provided by the Nutritionist are based on nutritional and lifestyle recommendations and do not replace the expertise of qualified healthcare professionals.",Nutrition Consultation FAQs
What are the different types of fitness centers available on cultpass?,There are 3 types of fitness centers available on cultpass. 1) Cult centers. 2) ELITE gyms. 3) PRO gyms. You get unlimited access to all centers in a city with a cultpass ELITE. You get unlimited access to PRO gyms and 2 sessions per month at cult centers or ELITE gyms in a city with cultpass PRO,Types of Centers
What is a cult center ?,"Cult centers are workout studios where you can attend scheduled trainer led group classes in different formats like (dance fitness, yoga, boxing, S&C and HRX). Cult group classes focus on overall development using body weight and free weights only.",Types of Centers
What is a PRO gym?,PRO gyms are full service gyms that offer you great value. They are a safe space to workout with top quality equipment and they have cult certified trainers present to assist you,Types of Centers
What is a ELITE gym?,"ELITE gyms are a curated collection of handpicked, full-service gyms at prime locations. They offer everything you get in a PRO gym plus added comfort and luxury to make your workout enjoyable. Look out for the ""ELITE"" tag to identify a ELITE gym.",Types of Centers
What is the difference between a PRO gym and a ELITE gym?,"PRO gyms are full service gyms that offer you great value. They provide a safe space to workout with top quality equipment and cult certified trainers present to assist you ELITE gyms are a curated collection of handpicked,  full-service gyms at prime locations. They offer everything you get in a PRO gym plus added comfort and luxury to make your workout enjoyable. Lookout for the ""ELITE"" tag to to identify a ELITE gym.",Types of Centers
How do I take a free trial session at a gym?,"On the gyms page, you can browse the gyms near you and select the gym you would like to try. Click on the ""Try for free"" button and choose a slot in which you would like to visit the gym. If you are unsure of when you will visit, you can also select the ""Anytime Walk-In option"". You can the go and visit your prefered center and introduce yourself to the center manager at the front desk. They will guide you through your free trial",Free Trials
What do I need to carry with me for my trial gym session?,"For your trial session, please carry with you a pair of comfortable workout clothing, a clean pair of workout shoes, a hand towel or napkin, and a bottle of water",Free Trials
What kind of guidance can I expect at cultpass gyms?,"Our expert cult certified trainers, will be available at all the gym to guide and assit you. They will do a complete body composition analysis and fitness assessment for you and based on that create a custom workout plan powered by AI targeted towards your fitness goals and suitable for your fitness level. They will handhold you through your first few sessions at the gym, teaching you the basics of working out and how to use the equipment at the gym. The trainers will always be avialable on the gym floor to supervise you and answer any query that you may have as you go about your workout",Assistance at the gym
Is there personal training available at the gym?,Personal training is available at most of our gyms for an additional fee. You can reach out to the center manager or trainer at your gym if you would like to avail personal training,Assistance at the gym
Which gyms will be accessible through cultpass PRO?,"To see the list of gyms that you can access with a cultpass PRO near you, visit the cult.fit app, go to the ‘Fitness’ tab, scroll down to find ‘Centers Near’ and enter the location you are looking for. You can see a ll the available gyms in your area.",cultpass
Will these gyms have group workouts?,"These centres are gyms designed to give you the best gym workout experience. Cult group workouts are not available at these centres, however your cultpass PRO entitles you to avail 4 free cult classes at any cult centre of your choice.",cultpass
What is the difference between gyms and cult centres?,"Gyms by cult.fit are a collection of handpicked full-service gyms which offer a safe space for you to workout using top quality gym equipment under the guidance of cult certified trainers. At the gyms, you can do a workout of your choice at your convenience. C ult centres offer scheduled trainer led group workouts in different formats like Boxing, HRX, S&C, Yoga and Dance Fitness that focus on overall development.",cultpass
What can I expect in a cultpass gym?,"At the gyms, you will get : 1) Top quality, well maintained gym equipment 2) Experienced and skilled cult certified trainers 3) A safe environment to workout with complete adherence to COVID safety guidelines including frequent sanitisation of equipment, temperature and oxygen checks and capping on the number of people working out. In addition to all this, on your first visit to a cultpass gym, you will get a free body composition analysis,  fitness assessment and a personalised workout plan!",cultpass
How do I check-in to a gym? Is it mandatory?,"A unique QR code will be present on the app under the ‘Cult’ tab -> ‘Gym’ section, please scan it on the device present at the reception or entry before entering the gym. Yes, it is mandatory to check-in.",Booking A Class
Can I go for a trial workout session before buying the membership?What can I expect during a trial session?,"Yes, you can book a trial session to explore the offerings. Each user gets 2 trial sessions.(2 trials for gyms and 2 trials for cult group workout) You can book the time slot on the app or visit any cultpass gymsdirectly. You will be asked to check-in using the QR code on your app(mandatory), followed by a  gym tour, BCA and workout. If you like the services you can buy the membership from the gym or purchase it via the app.",Booking A Class
What safety measures will be taken at the gym?,"Safety of our members and employees are of utmost importance to us. In order to ensure that, we will be taking the following precautions: Entry checks: Temperature, SpO2 and shoe sanitization to ensure safety for everyone Decontaminant Spray and Hand Sanitizer stations within easy reach on the workout floor Regular cleaning of the facilities Social distancing at all times",Booking A Class
What are the different types of Memberships that I can buy to access gyms?,"You can access the gyms listed on the cult.fit app by buying a cultpass ELITE or a cultpass PRO. cultpass ELITE will give you unlimited access to all gyms in a city cultpass PRO will give you unlimited access to all PRO gyms and 2 sessions per month at ELITE gyms or cult centers in a city. In addition to gym access, you get unlimited access to LIVE workouts with both the cultpasses",Membership
How do we buy a membership to Other Gyms?,You can buy the membership to these gyms on the cult.fit website. Here are the steps to follow: Log in on www.cult.fit Go to cult.fit tab Click on Other Gyms option Select a center where you want to workout Select a preferred start date Buy a membership pack Please note that your membership will only be valid in the chosen center.,Membership
What is the difference between cultpass ELITE and cultpass PRO?,cultpass ELITE will give you unlimited access to all gyms in your city. cultpass PRO will give you unlimited access to all PRO gyms and 2 sessions per month at ELITE gyms or cult centers in your city. cultpass ELITE comes with certain added benefits like the ability to attend 5 sessions per month in a different city so that you can stay healthy while travelling; the ability to transfer your membership across cities if you need to relocate. These benefits are not available on cultpass PRO,Membership
I have bought a membership pack for a gym. What should I do next?,"As soon as you buy a pack, we inform our partner gyms about your purchase. You can visit these centers in the next 30 days to get started. The center manager at the gym will help you with your induction.",Membership
Which cultpass should I buy if I want to visit a particular gym?,"For unlimited access to a ELITE gym buy a cultpass ELITE. For unlimited access to a PRO gym, you can buy either a cultpass ELITE or a cultpass PRO The ""Access "" section on the details page of each gym on the cult.fit app and website (you can go there by clicking on that gym) mentions the cultpass you need to access that gym",Membership
Can I pause my cultpass PRO ?,"cultpass memberships are built to give you the flexibility you need. Each membership pack comes with a fixed number of pause days. To pause your membership Click on your profile in the top left corner, select Active Packs/Subscriptions Select your active cultpass PRO Click pause Select the end date until which you want to pause your membership Select the reason for pausing your membership You're all set! If you would like to resume your membership manually before the date selected, just resume the membership from the same page.",Membership
"I'm new to cultpass PRO, what can I expect?","Your cultpass PRO gives you unlimited access to all partner gyms and live workouts and limited access to cult centers. You can We recommend you book a trial session to explore the offerings. Each user gets 2 trial sessions. You can book the time slot on the app or visit any partner gym directly. You will be asked to check-in using the QR code on your app(mandatory), followed by a  gym tour, free body composition check (optional), and workout. If you like the experience you can buy the membership from the gym or purchase it via the app. Post the purchase we’ll handhold you in the initial few days to get started on your fitness journey!",Membership
I want to raise a concern or give feedback about my gym. What should I do?,"At cult.fit, we are committed to giving you the best workout experience. We are working very closely with our partners to ensure that all your concerns and feedback are acted upon. Please feel free to write to us will all your feedback and suggestion at hello@cult.fit",Feedback
What are Gym Happy Hours?,"Our Gym Happy Hours are from 10 AM to 5 PM every day. Workout during this slot to earn a free day on your membership, and even enjoy more space to move at the gym!",Gym Happy Hours
When will I get my 1 free membership day?,Your 1-day free membership extension will be processed within 24 hours of your check-in. You will receive an app push notification once your extension has been added. Please ensure notifications are active on your cult app.,Gym Happy Hours
What is Cult Pass Play,"Cultpass Play is our flagship product which will give you unlimited access to play centers which includes various sports like Badminton, Swimming, Table Tennis and Lawn Tennis within your city. However, you can pre book 3 sessions at any given point in time.",About Cult Play
Does Cult Play provide kids coaching,"Cult Play offers coaching plans for members up to 18 years under the Academy Program at select centers, in case you wish to know more about the program, please feel free to reach out to our Advisory team at 8800884949.",About Cult Play
How can I purchase cultpass Play plan?,"Great decision ! Here's how you can buy your pack : Open the Home page on the app - click on the ""Sports"" tab at the bottom. Scroll down and you will see ""PLAY""  where you need to click ""View"". Pick a pack of your choice and make the payment online.",About Cult Play
How can I find a center nearby,Nearby Cult Play centers can be located using the Cult App. Based on the requested location we display the available centers nearby sorted by distance. Navigation through Google maps can be done by clicking on the 'Get Directions' button of a specific centers page.,About Cult Play
How can I book a play session?,"Booking a class is super easy! You can book it from the cult.fit app. Here’s how: From the app Log into the cult.fit app From the Home tab, tap on Play sports Choose your location Select the date Choose your required slot and centre",Booking
Why do I need to book my slot in advance?,"Since the number of members who can play in the slots is limited and pre-defined, bookings need to be made in advance. This is done to ensure a comfortable playing experience for all members.",Booking
Why am I not able to book my preferred slot?,"It might be because the slot is full or unavailable due to an unexpected closure. In case a slot is canceled from Cult Play's end, we ensure to send out a notification mentioning the closure.",Booking
How can I Reschedule/Cancel the session?,"Cult Play app currently does not support the rescheduling of booked slots. In case the user wants to book a different slot, the existing booking should be canceled ( at least 60 minutes in advance) and a fresh booking can be created.",Booking
"I am a fitso user, how do I book a sport session on cult.fit app?","Booking a class is super easy! You can book it from the cult.fit app. If you are stuck anywhere or need any support, please do feel free to write at hello@cult.fit, our team would be more than happy to guide you. Here’s how : Log into the cult.fit app Click on the ""book sport session"" or click on ""play sports"" icon Choose your location Select the date Select the Sport Choose your preferred centre and slot Confirm and book the slot",Booking
Why do we have a Facial Recognition at center,Facial recognition-based attendance (FR) system helps track the customer visiting the facility along with the time of their entry to validate checks for application for No Show and Late Entry penalty. The FR system also helps us in improving our safety efforts at the facility.,Attendance
Why does Cult Play have a penalty system,No show leads to issues like booking unavailability and vaccant slots in rush hours depriving other members of the opportunity to play. Late entry disrupts the ongoing game which the users are playing at the center resulting in bad experience.,Attendance
What shall I do after reaching the facility post booking,"When you reach the Cult Play facility as per your booking time, you should mark your attendance via the facial- recognition (FR) system before attending your session. You can contact the Facility Manager upon reaching the center to seek the support.",Attendance
How can I remove the penalty ?,A session has to be either canceled 30 minutes prior to the slot start time or attended on time to avoid the penalty. Penalties once charged can not be removed.,Attendance
How do I raise a support request,Cult Play members can use the following steps to raise a support request: Login to Cult App> Go to Profile Section> Click on Support> > Mention your query> Submit support ticket.,Membership Support
Is there a number to call to raise a support query,Cult support does not have an inbound call system. Membership support requests or inquiries can be raised directly from the app's support section. The support team will resolve the issue/query by email/call based on the nature or severity of the issue raised.,Membership Support
How can I change the preferred center,"Cult Pass Play allows you to access all the centers in your city. Hence, there is no need to change the preferred center. For academy memberships, you can raise a support request from the Cult app.",Membership Support
How can I Pause my membership,Go to Profile by clicking the top right icon on the homepage > click 'Your memberships'.>click Pause button>select the number of days you wish to pause the plan,Freeze/Extension
